iter	Accuracy	MultiClass
508	0.9912136189	0.05230571851
509	0.9912136189	0.05224027762
510	0.9912136189	0.05217782908
511	0.9912136189	0.05213780777
512	0.9913633868	0.05197958579
513	0.991463232	0.05180760955
514	0.9914133094	0.05175266077
515	0.9913633868	0.05170538252
516	0.9916129999	0.0515619809
517	0.9916129999	0.05146726884
518	0.9916629225	0.05140657263
519	0.9916129999	0.05129292357
520	0.9915630772	0.05120816173
521	0.9917128451	0.05109820072
522	0.9918126903	0.0510426497
523	0.9918626129	0.05097457376
524	0.9919624582	0.0509130899
525	0.9920123808	0.05083820254
526	0.992112226	0.05068727789
527	0.9921621487	0.05063266792
528	0.9921621487	0.05055513057
529	0.9921621487	0.05052016673
530	0.9921621487	0.05046422851
531	0.9922619939	0.05032848548
532	0.9923119165	0.05029214179
533	0.9923618391	0.05022707426
534	0.9923119165	0.05016409858
535	0.9922619939	0.05005661924
536	0.9923618391	0.04999357811
537	0.9924616844	0.04995236276
538	0.9924616844	0.04990884599
539	0.9924616844	0.04984769802
540	0.992511607	0.04978510071
541	0.9925615296	0.04975382474
542	0.9926114522	0.04972838977
543	0.9926114522	0.04966329828
544	0.9927612201	0.04959784093
545	0.9927612201	0.04953681317
546	0.9927612201	0.04940463719
547	0.9928111427	0.04930234781
548	0.9928610653	0.04924476178
549	0.992910988	0.04919294373
550	0.992910988	0.04915417613
551	0.992910988	0.04907931216
552	0.992910988	0.04902585112
553	0.9929609106	0.0488739306
554	0.9929609106	0.04884852761
555	0.9929609106	0.0487951586
556	0.9929609106	0.04874932619
557	0.9930607558	0.04871516502
558	0.9931606011	0.04856873934
559	0.9931606011	0.04852217103
560	0.9932105237	0.04843235835
561	0.9932105237	0.04836655497
562	0.9932105237	0.04831219974
563	0.9933602915	0.04821661427
564	0.9932105237	0.04817348831
565	0.9932604463	0.04805664804
566	0.9934102142	0.04796249156
567	0.9934102142	0.0478523508
568	0.9934102142	0.04775599076
569	0.9934601368	0.04770352907
570	0.9935100594	0.04764890989
571	0.9935100594	0.04760241814
572	0.993559982	0.04746630632
573	0.993559982	0.04743225234
574	0.9936598273	0.0473135031
575	0.9936598273	0.04720774414
576	0.9936598273	0.04714612345
577	0.9936099046	0.04711437833
578	0.9936598273	0.0470585527
579	0.9937097499	0.04700203006
580	0.9937596725	0.04690730183
581	0.9936598273	0.04682063398
582	0.9936099046	0.04678710288
583	0.9937097499	0.04672181582
584	0.993559982	0.04667989055
585	0.993559982	0.04662021935
586	0.9936099046	0.04656143094
587	0.9936598273	0.0464632086
588	0.9936598273	0.0464344821
589	0.9937596725	0.04632732614
590	0.9937596725	0.04624967171
591	0.9938095951	0.04621604395
592	0.9938095951	0.04616393168
593	0.9938595177	0.04613396399
594	0.9937596725	0.04606410643
595	0.9938095951	0.04592750096
596	0.993959363	0.0458706469
597	0.993959363	0.04577285125
598	0.9940092856	0.04574449019
599	0.9941091308	0.04571226245
600	0.9940592082	0.04563987456
601	0.9940592082	0.04556504799
602	0.9940592082	0.04552165923
603	0.9941590535	0.04538130828
604	0.9941590535	0.04532259492
605	0.9941590535	0.04526087663
606	0.9941590535	0.04523616097
607	0.9941590535	0.04519008951
608	0.9941590535	0.04507877605
609	0.9942089761	0.0449877024
610	0.9942588987	0.04495684585
611	0.9942588987	0.04492003488
612	0.9943088213	0.04479712749
613	0.9943088213	0.04467032147
614	0.9944086666	0.04453174355
615	0.9945085118	0.04449512498
616	0.9944585892	0.04439768215
617	0.9945085118	0.0443465564
618	0.9944585892	0.04425894573
619	0.9944585892	0.04416194072
620	0.9944585892	0.04411261244
621	0.9945085118	0.04404090332
622	0.994608357	0.04395902271
623	0.9947082023	0.04387451957
624	0.9947082023	0.04381938248
625	0.9947082023	0.04375588352
626	0.9947082023	0.04368296369
627	0.9947581249	0.04364855686
628	0.9947581249	0.04359187681
629	0.9948080475	0.04354548652
630	0.9948080475	0.04350878343
631	0.9948080475	0.04348148495
632	0.9948080475	0.0434488451
633	0.9948080475	0.04337100181
634	0.9948080475	0.04333729005
635	0.9947581249	0.04325747377
636	0.9948080475	0.0432068668
637	0.9948080475	0.04315447727
638	0.9948080475	0.0430422862
639	0.9948080475	0.04299730342
640	0.9949078928	0.04287441715
641	0.9949078928	0.04280692192
642	0.9949578154	0.04268586797
643	0.995007738	0.04262688035
644	0.995007738	0.04253625584
645	0.995007738	0.04243396479
